"TIV of arms exports to Germany (FRG), 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Aircraft,,,,,,,457,1400,2451,359,606,817,1475,2526,2650,2331,2140,559,498,303,750,1953,484,1247,1625,1500,677,263,2,1,1,1,45,54,34,,17,,26,34,7,7,,,,,,13,,54,41,26,,,,50,347,,,,12,3,,,,28,9,3,27881
Air defence systems,,,,,,60,278,303,25,280,280,280,,50,300,300,250,,,,,,,,,,450,450,450,,,,,,,,47,94,94,188,188,265,235,235,,,,,226,,,,,,,,,,220,275,220,15,15,,,,,,6072
Armoured vehicles,,,,,,,371,320,277,353,585,559,561,186,187,137,125,125,125,113,100,100,88,63,25,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,12,14,8,16,14,24,53,,14,8,3,32,4679
Artillery,,,,,,20,83,36,31,14,11,1,1,5,11,80,255,253,198,5,39,36,,,2,4,4,3,,,,,,,,,,7,,,48,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,1276
Engines,,,,,,,,,22,26,53,96,93,58,92,45,50,57,69,68,66,65,45,,,,,,40,48,59,64,92,33,28,,,,,14,17,3,29,,14,14,28,,,,,,,1,14,7,1,1,2,1,1,0,,,,,,,1416
Missiles,,,,,,,,13,13,78,160,75,105,165,190,182,176,161,160,188,245,158,36,41,87,81,217,225,217,10,54,120,146,146,156,27,162,160,246,376,363,288,288,241,284,78,53,48,309,69,68,99,55,34,60,54,41,41,48,43,36,57,48,64,68,27,49,14,7494
Naval weapons,,,,,,,,,5,29,105,66,57,31,73,57,10,22,49,,,,5,23,33,35,5,,,,,,18,28,25,,,,,8,8,,,,23,23,45,,,,,,,,46,23,,,6,,,,7,8,,,,7,874
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,10,,,,,,,,,,,10,50
Sensors,,,,,,5,5,,,19,32,31,122,198,208,192,205,148,99,30,2,29,53,3,3,3,42,33,,18,122,167,226,208,131,84,85,60,65,89,86,67,69,59,103,114,120,,8,6,5,8,16,25,107,50,5,25,10,4,,,19,41,26,32,,,3715
Ships,,,,,,,102,37,106,358,187,47,53,,,,,,,550,275,,95,334,334,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2670
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,85,1296,2107,2929,1515,2018,1973,2466,3219,3710,3323,3211,1324,1198,1256,1475,2340,805,1709,2109,1813,1395,1049,709,77,237,352,526,468,374,111,311,321,430,708,716,694,685,535,423,228,246,61,543,129,113,133,71,64,239,204,416,82,293,339,283,99,142,113,108,95,61,65,56127
